dataset_id,subject_id,session_id,circuit_id,t_sec,dt_sec,spike_count,x_mtor_proxy,u_observer,condition,split
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,40.0,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,40.3,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,40.4,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,40.7,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,41.0,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,41.5,0.05,1,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,41.9,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,42.25,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,42.5,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,42.8,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,43.35,0.05,1,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,43.7,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,44.8,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,45.5,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,46.3,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,46.45,0.05,1,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,47.15,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,48.15,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,48.45,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,48.5,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,50.0,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,50.3,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,52.95,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,53.85,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,54.05,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,54.45,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,54.75,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,56.05,0.05,1,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,56.25,0.05,2,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,56.7,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,56.85,0.05,0,,0.30907,0,train
