system,environment_family,seed,current_task_success,future_task_success,joint_success,rfs_auc,final_rfs,wrong_commitment,irreversible_failure,probe_count,node_expansions,environment_interactions,wall_clock_seconds
C-noReversibility,Stable-Reversible,3115.5,0.8975000000000001,0.8975000000000001,0.8975000000000001,1.0,1.0,0.6793333333333333,0.10250000000000001,0.0,144.0,6.0,0.0002386820976624785
C-scalarized,Hidden-Irreversible,3115.5,0.8975000000000001,0.4951666666666667,0.4951666666666667,0.7676666666666667,0.5353333333333333,0.6793333333333333,0.5048333333333334,0.0,144.0,6.0,0.0002488381029995971
C-scalarized,Hidden-Irreversible-Shift,3115.5,0.8975000000000001,0.4951666666666667,0.4951666666666667,0.7676666666666667,0.5353333333333333,0.6793333333333333,0.5048333333333334,0.0,144.0,6.0,0.0002506425008375825
C-scalarized,Hidden-Reversible,3115.5,0.8975000000000001,0.8975000000000001,0.8975000000000001,1.0,1.0,0.6793333333333333,0.10250000000000001,0.0,144.0,6.0,0.0002420322904973648
C-scalarized,Stable-Reversible,3115.5,0.8975000000000001,0.8975000000000001,0.8975000000000001,1.0,1.0,0.6793333333333333,0.10250000000000001,0.0,144.0,6.0,0.0002487090516664113
ChoiceMap,Hidden-Irreversible,3115.5,0.9756666666666667,0.8468333333333333,0.8468333333333333,0.981253125,0.8711666666666668,0.031000000000000003,0.14183333333333334,2.918833333333333,144.0,6.0,0.0008876270851666155
ChoiceMap,Hidden-Irreversible-Shift,3115.5,0.9516666666666667,0.8076666666666666,0.8076666666666666,0.9799038194444445,0.8439166666666666,0.1175,0.1665,4.0005,144.0,6.0,0.0011283342600018193
ChoiceMap,Hidden-Reversible,3115.5,0.897,0.897,0.897,1.0,1.0,0.6679999999999999,0.103,0.0,144.0,6.0,0.00024871673517102715
ChoiceMap,Stable-Reversible,3115.5,0.897,0.897,0.897,1.0,1.0,0.6679999999999999,0.103,0.0,144.0,6.0,0.00026031587034082085
Greedy,Hidden-Irreversible,3115.5,0.897,0.4915,0.4915,0.7705,0.541,0.6679999999999999,0.5085000000000001,0.0,144.0,6.0,0.0002468660873342092
Greedy,Hidden-Irreversible-Shift,3115.5,0.897,0.4915,0.4915,0.7705,0.541,0.6679999999999999,0.5085000000000001,0.0,144.0,6.0,0.0002590801553323628
Greedy,Hidden-Reversible,3115.5,0.897,0.897,0.897,1.0,1.0,0.6679999999999999,0.103,0.0,144.0,6.0,0.0002383934376673046
Greedy,Stable-Reversible,3115.5,0.897,0.897,0.897,1.0,1.0,0.6679999999999999,0.103,0.0,144.0,6.0,0.0002444566374982618
OptionScalar,Hidden-Irreversible,3115.5,0.8975000000000001,0.4951666666666667,0.4951666666666667,0.7676666666666667,0.5353333333333333,0.6793333333333333,0.5048333333333334,0.0,144.0,6.0,0.00024262171416681823
OptionScalar,Hidden-Irreversible-Shift,3115.5,0.8975000000000001,0.4951666666666667,0.4951666666666667,0.7676666666666667,0.5353333333333333,0.6793333333333333,0.5048333333333334,0.0,144.0,6.0,0.00025054754133402226
OptionScalar,Hidden-Reversible,3115.5,0.8975000000000001,0.8975000000000001,0.8975000000000001,1.0,1.0,0.6793333333333333,0.10250000000000001,0.0,144.0,6.0,0.00023624852200580638
OptionScalar,Stable-Reversible,3115.5,0.8975000000000001,0.8975000000000001,0.8975000000000001,1.0,1.0,0.6793333333333333,0.10250000000000001,0.0,144.0,6.0,0.00024108862816792255
Search,Hidden-Irreversible,3115.5,0.8975000000000001,0.4951666666666667,0.4951666666666667,0.7676666666666667,0.5353333333333333,0.6793333333333333,0.5048333333333334,0.0,144.0,6.0,0.0002551017920007889
Search,Hidden-Irreversible-Shift,3115.5,0.8975000000000001,0.4951666666666667,0.4951666666666667,0.7676666666666667,0.5353333333333333,0.6793333333333333,0.5048333333333334,0.0,144.0,6.0,0.00025335567166805806
Search,Hidden-Reversible,3115.5,0.8975000000000001,0.8975000000000001,0.8975000000000001,1.0,1.0,0.6793333333333333,0.10250000000000001,0.0,144.0,6.0,0.00024639138333746967
Search,Stable-Reversible,3115.5,0.8975000000000001,0.8975000000000001,0.8975000000000001,1.0,1.0,0.6793333333333333,0.10250000000000001,0.0,144.0,6.0,0.00024126621616705555
