seed,condition,complete,preC_sha256,wall_seconds,device,git_sha,config_sha256,code_tree_sha256
2007,standard,True,ba7ec4ad26766cdf0693f07b7a224f4c59ac39e56482bcc336f48916591ff88d,195.85544112499338,mps,02d78d2b2cb1d0bf6ad49a224c5350effc541a27,90c0aeb56419663f0f805abf6f92e8202409198eb4647f0a821b1b7717ab2b01,101ab1fbdc9bc714ae2b51f42f9b4863808949ce8f26a5f42d8b9f5447da8403
2007,high_update,True,519a5d22ba70dd07085c580b225269571e1e4bf1aa95d095ee6ffca67ca5ea73,173.61535958299646,mps,02d78d2b2cb1d0bf6ad49a224c5350effc541a27,90c0aeb56419663f0f805abf6f92e8202409198eb4647f0a821b1b7717ab2b01,101ab1fbdc9bc714ae2b51f42f9b4863808949ce8f26a5f42d8b9f5447da8403
2007,replay,True,093ee1361679eeebeef38277b70be6ef71ce030dc88e98597d8663fd945119a9,187.41929274995346,mps,02d78d2b2cb1d0bf6ad49a224c5350effc541a27,90c0aeb56419663f0f805abf6f92e8202409198eb4647f0a821b1b7717ab2b01,101ab1fbdc9bc714ae2b51f42f9b4863808949ce8f26a5f42d8b9f5447da8403
2008,constrained,True,7532851603263635f0dcaf61130c66441e614d720d875b7bed9b67f39bf17417,348.47087229101453,mps,02d78d2b2cb1d0bf6ad49a224c5350effc541a27,90c0aeb56419663f0f805abf6f92e8202409198eb4647f0a821b1b7717ab2b01,101ab1fbdc9bc714ae2b51f42f9b4863808949ce8f26a5f42d8b9f5447da8403
2008,standard,True,3cb911b3ed149bc5e1ace52d4f05b68ada300d2920885e2b06a52b0a36f9f283,196.70559391600545,mps,02d78d2b2cb1d0bf6ad49a224c5350effc541a27,90c0aeb56419663f0f805abf6f92e8202409198eb4647f0a821b1b7717ab2b01,101ab1fbdc9bc714ae2b51f42f9b4863808949ce8f26a5f42d8b9f5447da8403
2008,high_update,True,62a70e409d13871bc403bf855a98cdf190a267f37f3f9f0c6abeb729a589abc5,174.42821983294562,mps,02d78d2b2cb1d0bf6ad49a224c5350effc541a27,90c0aeb56419663f0f805abf6f92e8202409198eb4647f0a821b1b7717ab2b01,101ab1fbdc9bc714ae2b51f42f9b4863808949ce8f26a5f42d8b9f5447da8403
2008,replay,True,13de9f382b57a952bee370ba76cbc51af801d67bce7d1a6bb824e49df6e515aa,188.0002737090108,mps,02d78d2b2cb1d0bf6ad49a224c5350effc541a27,90c0aeb56419663f0f805abf6f92e8202409198eb4647f0a821b1b7717ab2b01,101ab1fbdc9bc714ae2b51f42f9b4863808949ce8f26a5f42d8b9f5447da8403
2009,constrained,True,f517777f9ccbcdb2889ee5c0da884944f3ab0c754e4c7862d223b415d10b879f,347.98865283397026,mps,02d78d2b2cb1d0bf6ad49a224c5350effc541a27,90c0aeb56419663f0f805abf6f92e8202409198eb4647f0a821b1b7717ab2b01,101ab1fbdc9bc714ae2b51f42f9b4863808949ce8f26a5f42d8b9f5447da8403
2009,standard,True,c1dbb766605a8026d23fe080222f3242d5d02aebc4885638097303c5b3a82dc5,195.32101516699186,mps,02d78d2b2cb1d0bf6ad49a224c5350effc541a27,90c0aeb56419663f0f805abf6f92e8202409198eb4647f0a821b1b7717ab2b01,101ab1fbdc9bc714ae2b51f42f9b4863808949ce8f26a5f42d8b9f5447da8403
2009,high_update,True,be4f553c8dd656916ad9f98a8188cfd57224a00acb72e17199b336ff2d050762,173.09973283304134,mps,02d78d2b2cb1d0bf6ad49a224c5350effc541a27,90c0aeb56419663f0f805abf6f92e8202409198eb4647f0a821b1b7717ab2b01,101ab1fbdc9bc714ae2b51f42f9b4863808949ce8f26a5f42d8b9f5447da8403
2009,replay,True,2853a51ba203c0c5b12ad5197e6a12cc633a46e1c0fc42b10eaf43ffafb65ecf,187.23313999996753,mps,02d78d2b2cb1d0bf6ad49a224c5350effc541a27,90c0aeb56419663f0f805abf6f92e8202409198eb4647f0a821b1b7717ab2b01,101ab1fbdc9bc714ae2b51f42f9b4863808949ce8f26a5f42d8b9f5447da8403
2010,constrained,True,0f9ee7d9c00485e45fcadddda0110c93a00cfd9ca74f5c15e26ad2e1acfd636c,347.7096678329981,mps,02d78d2b2cb1d0bf6ad49a224c5350effc541a27,90c0aeb56419663f0f805abf6f92e8202409198eb4647f0a821b1b7717ab2b01,101ab1fbdc9bc714ae2b51f42f9b4863808949ce8f26a5f42d8b9f5447da8403
2010,standard,True,8e126f958016ff1487d6780ee3578f90d5fc636d2b576a65262f636c0283fee9,195.77369270898635,mps,02d78d2b2cb1d0bf6ad49a224c5350effc541a27,90c0aeb56419663f0f805abf6f92e8202409198eb4647f0a821b1b7717ab2b01,101ab1fbdc9bc714ae2b51f42f9b4863808949ce8f26a5f42d8b9f5447da8403
2010,high_update,True,3391955d39783caca51f5e96cbd8bc9a7807e45f1c999b2f84ab85fe950ed77a,174.30934475001413,mps,02d78d2b2cb1d0bf6ad49a224c5350effc541a27,90c0aeb56419663f0f805abf6f92e8202409198eb4647f0a821b1b7717ab2b01,101ab1fbdc9bc714ae2b51f42f9b4863808949ce8f26a5f42d8b9f5447da8403
2010,replay,True,cfd524f32177e3acf45b46caaef73e06b96e2e479bd7975ffe2515b9fe5d89b3,190.05317920801463,mps,02d78d2b2cb1d0bf6ad49a224c5350effc541a27,90c0aeb56419663f0f805abf6f92e8202409198eb4647f0a821b1b7717ab2b01,101ab1fbdc9bc714ae2b51f42f9b4863808949ce8f26a5f42d8b9f5447da8403
