A_accuracy,B_accuracy,C_accuracy,batches,checkpoint_id,condition,data_shift_id,fisher_empirical_diag_burden,fisher_sample_count,global_step,gradient_disagreement,learning_rate,model_id,no_shift,parameter_distance_from_phase_start,parameter_update_norm,phase,phase_epoch,phase_global_updates,phase_relative_step,predictive_KL_from_previous,predictive_entropy,probe_gradient_norm,representation_coherence,representation_drift_from_A,representation_velocity,seed,timestamp_utc,train_gradient_norm,train_loss,validation_accuracy,validation_balanced_accuracy,validation_loss,C_balanced_accuracy,C_changed_balanced_accuracy,C_test_loss,C_unchanged_balanced_accuracy,head_parameter_distance_from_B,trunk_parameter_distance_from_B
0.1,0.1,0.1,391.0,C8,high_update,79a9d970650ca075328eac6e3b23ac9ca4dde0c73809765057577fdbe3798be9_label_rule,0.0036773390602320433,20,12903,1.2997568925687422,0.12,light_cnn,False,0.19650351246380424,0.28583189438436735,C,8,3128,3128,0.0040725528152762225,2.3016505241394043,0.0935495188459754,1.0,,1.0,2002,2026-07-10T17:42:40.845627+00:00,0.08556404176746946,2.30465873915826,0.1,0.1,2.3035233497619627,0.1,0.0,2.3035233497619627,0.16666666666666666,0.19650351246380424,0.0
0.865,,,391.0,A15,replay,A_clean,0.011593414470553398,20,5865,0.8978344566809634,0.02,light_cnn,False,19.611491347346078,0.9572658734281854,A,15,5865,5865,0.033930116840325146,0.4306464195251465,1.103356659412384,0.6217140147944955,0.0,0.009396492175974602,2002,2026-07-10T17:32:13.157182+00:00,1.277375588331686,0.3931702514896003,0.865,0.865,0.38419867806820035,,,,,,
0.864625,0.856,,391.0,B10,replay,79a9d970650ca075328eac6e3b23ac9ca4dde0c73809765057577fdbe3798be9,0.010263988748192787,20,9775,0.6894061987598736,0.02,light_cnn,False,11.049998818865,0.9001441442818809,B,10,3910,3910,0.0765249447225181,0.426731675863266,1.3979731351137161,0.48338504578371533,0.13984771651721561,0.0040256970441189255,2002,2026-07-10T17:44:48.542217+00:00,1.2765157782208278,0.4040713904382628,0.856,0.8560000000000001,0.4088285385649359,,,,,,
0.612375,0.60625,0.8425,391.0,C8,replay,79a9d970650ca075328eac6e3b23ac9ca4dde0c73809765057577fdbe3798be9_label_rule,0.007472263183444738,20,12903,0.5905843724807103,0.02,light_cnn,False,7.674541465574994,0.854431859092652,C,8,3128,3128,0.1263890997996711,0.46255263686180115,1.5991372466087341,0.4965609692759495,,0.002837350057134702,2002,2026-07-10T17:46:36.537087+00:00,1.1196916656725853,0.46162139363301075,0.85,0.85,0.43075826120160743,0.8424999999999999,0.703,0.446434011681529,0.9354999999999999,4.694747242341322,6.071073631357021
0.865,,,391.0,A15,standard,A_clean,0.011593414470553398,20,5865,0.8978344566809634,0.02,light_cnn,False,19.611491347346078,0.9572658734281854,A,15,5865,5865,0.033930116840325146,0.4306464195251465,1.103356659412384,0.6217140147944955,0.0,0.009396492175974602,2002,2026-07-10T17:32:13.157182+00:00,1.277375588331686,0.3931702514896003,0.865,0.865,0.38419867806820035,,,,,,
0.859125,0.851875,,391.0,B10,standard,79a9d970650ca075328eac6e3b23ac9ca4dde0c73809765057577fdbe3798be9,0.00899058673530817,20,9775,0.46873950958251953,0.02,light_cnn,False,11.209150254225454,0.8893586806506251,B,10,3910,3910,0.07981482729571623,0.39481639862060547,1.6935112029314041,0.49349747935622623,0.12984998596277164,0.004117029041060261,2002,2026-07-10T17:37:35.214703+00:00,1.2598931649914178,0.4102499247969264,0.851875,0.851875,0.4236191042348955,,,,,,
0.605625,0.59925,0.8539,391.0,C8,standard,79a9d970650ca075328eac6e3b23ac9ca4dde0c73809765057577fdbe3798be9_label_rule,0.010766185820102692,20,12903,0.6938967344661553,0.02,light_cnn,False,8.60532825508347,0.9181775265759247,C,8,3128,3128,0.127779735600286,0.3975830078125,1.5375803709030151,0.5015454194952477,,0.004646547016194935,2002,2026-07-10T17:39:12.273734+00:00,1.2010164309645552,0.386911554333499,0.856,0.8560000000000001,0.40631990342662627,0.8539,0.72475,0.42095100770053095,0.94,5.426982685490628,6.678288202011266
0.855125,,,391.0,A15,constrained,A_clean,0.01614556834101677,20,5865,0.6532584552963574,0.02,light_cnn,False,19.66959813447673,0.9465764398736323,A,15,5865,5865,0.08223945597090487,0.40306875109672546,1.5073540806770325,0.6525616471342643,0.0,0.0035226736025979477,2003,2026-07-10T17:49:18.520350+00:00,1.299327543934288,0.38008133148598244,0.855125,0.8551249999999999,0.3983821932044002,,,,,,
0.715375,0.707125,,391.0,B10,constrained,79a9d970650ca075328eac6e3b23ac9ca4dde0c73809765057577fdbe3798be9,0.017251906916499138,20,9775,0.4722134843468666,0.003,light_cnn,False,16.407832161439014,0.5105253020506136,B,10,3910,3910,0.10304664032842234,1.230422854423523,4.309272766113281,0.3637993647747808,0.45932543639174184,0.0008232004091759393,2003,2026-07-10T17:51:10.750439+00:00,3.43931217419217,0.8996509401999471,0.707125,0.7071249999999999,0.9120322195840418,,,,,,
0.54775,0.548,0.6794,391.0,C8,constrained,79a9d970650ca075328eac6e3b23ac9ca4dde0c73809765057577fdbe3798be9_label_rule,0.010498514398932457,20,12903,0.8126386379202207,0.003,light_cnn,False,3.289434372260992,0.2218191914044163,C,8,3128,3128,0.07459532493965354,1.210205316543579,3.5023993253707886,0.36132425041287275,,0.0005981105938704934,2003,2026-07-10T17:52:47.796383+00:00,3.987783780183329,0.9353990222486999,0.686375,0.6863750000000001,0.9183739840506605,0.6794,0.50875,0.9343880630942178,0.7931666666666667,2.517258295315027,2.1174959655403716
