dataset,animal,grain,representation,mean,median,q025,q975,min,max,n,negative_fraction,positive_fraction
riken,mouse05,G3,R2_RANDOM_AGG,-0.0020069329660238593,-0.0017310319100091315,-0.03804098657024798,0.037853556875573915,-0.04123421717171724,0.04149908172635444,50,0.32,0.28
riken,mouse05,G3,R3,-0.06857219926538105,-0.06857219926538105,-0.06857219926538105,-0.06857219926538105,-0.06857219926538105,-0.06857219926538105,1,1.0,0.0
riken,mouse06,G2,R0,0.13152325100228313,0.13152325100228313,0.13152325100228313,0.13152325100228313,0.13152325100228313,0.13152325100228313,1,0.0,1.0
riken,mouse06,G2,R1_N_ONLY,0.006243859858935585,0.005697442001898673,-0.010875190920460284,0.02244951703786941,-0.012943475491723033,0.023055033300700134,50,0.04,0.4
riken,mouse06,G2,R2_RANDOM_AGG,0.04948318768912423,0.04824470799773045,0.03519625985949178,0.06723028837507043,0.0321235871306515,0.07036175110507897,50,0.0,1.0
riken,mouse06,G2,R3,-0.034559187544499936,-0.034559187544499936,-0.034559187544499936,-0.034559187544499936,-0.034559187544499936,-0.034559187544499936,1,1.0,0.0
riken,mouse06,G3,R0,0.13152325100228313,0.13152325100228313,0.13152325100228313,0.13152325100228313,0.13152325100228313,0.13152325100228313,1,0.0,1.0
riken,mouse06,G3,R1_N_ONLY,-0.07638224437974635,-0.07677372693364051,-0.09776130035203144,-0.05467078966065308,-0.10912189278412196,-0.05292369934469632,50,1.0,0.0
riken,mouse06,G3,R2_RANDOM_AGG,0.0023570269953549342,0.001403959263760926,-0.009412566749345163,0.016643348929772747,-0.01876353683786533,0.02829806394510717,50,0.02,0.16
riken,mouse06,G3,R3,-0.16637138104895705,-0.16637138104895705,-0.16637138104895705,-0.16637138104895705,-0.16637138104895705,-0.16637138104895705,1,1.0,0.0
riken,mouse07,G2,R0,0.12405175917097933,0.12405175917097933,0.12405175917097933,0.12405175917097933,0.12405175917097933,0.12405175917097933,1,0.0,1.0
riken,mouse07,G2,R1_N_ONLY,0.017959521160506333,0.017793478644384464,-0.0031425060166984514,0.04054718251968122,-0.008691300482862208,0.045244236644970126,50,0.0,0.76
