recording_id,rec_key,animal,condition,source_path,accepted_roi_count,duration_s_used,frame_count_used,N_G1,group_size_G1,group_n_G1,group_min_G1,group_median_G1,group_max_G1,q_max_G1,N_G2,group_size_G2,group_n_G2,group_min_G2,group_median_G2,group_max_G2,q_max_G2,N_G3,group_size_G3,group_n_G3,group_min_G3,group_median_G3,group_max_G3,q_max_G3
37528:iso:20181206-imaging GCaMP6f mouse #37528 under isoflurane:5,026_37528_iso_4cfac14ab7,37528,iso,Anesthesia/calcium_imaging/20181206-imaging GCaMP6f mouse #37528 under isoflurane/5/suite2p/plane0,431,300.0,9000,431,1,431,1,1.0,1,0.8505707602779915,48,9,48,8,9.0,9,0.5349392361111112,24,18,24,17,18.0,18,0.41080729166666663
37528:iso:20190417 - imaging GCaMP6f mouse #37528 under iso:2,027_37528_iso_7e23ec99b6,37528,iso,Anesthesia/calcium_imaging/20190417 - imaging GCaMP6f mouse #37528 under iso/2/suite2p/plane0,460,300.0,9000,460,1,460,1,1.0,1,0.6722938327032136,46,10,46,10,10.0,10,0.355328449905482,25,19,25,4,19.0,19,0.2914
37528:iso:20190417 - imaging GCaMP6f mouse #37528 under iso:3,028_37528_iso_8a41432053,37528,iso,Anesthesia/calcium_imaging/20190417 - imaging GCaMP6f mouse #37528 under iso/3/suite2p/plane0,458,300.0,9000,458,1,458,1,1.0,1,0.8432792328521578,46,10,46,8,10.0,10,0.5223889413988658,25,19,25,2,19.0,19,0.40900000000000003
37528:iso:20190417 - imaging GCaMP6f mouse #37528 under iso:4,029_37528_iso_b843e387f9,37528,iso,Anesthesia/calcium_imaging/20190417 - imaging GCaMP6f mouse #37528 under iso/4/suite2p/plane0,418,300.0,9000,418,1,418,1,1.0,1,0.8591063620338362,47,9,47,4,9.0,9,0.5514373019465821,25,17,25,10,17.0,17,0.369
37528:iso:20190417 - imaging GCaMP6f mouse #37528 under iso:5,030_37528_iso_2db74621f1,37528,iso,Anesthesia/calcium_imaging/20190417 - imaging GCaMP6f mouse #37528 under iso/5/suite2p/plane0,447,300.0,9000,447,1,447,1,1.0,1,0.7882089895850538,50,9,50,6,9.0,9,0.47740000000000005,25,18,25,15,18.0,18,0.4014
37528:iso:20190417 - imaging GCaMP6f mouse #37528 under iso:6,031_37528_iso_be3e1bf19a,37528,iso,Anesthesia/calcium_imaging/20190417 - imaging GCaMP6f mouse #37528 under iso/6/suite2p/plane0,501,300.0,9000,501,1,501,1,1.0,1,0.7867493555802569,46,11,46,6,11.0,11,0.5420014177693762,24,21,24,18,21.0,21,0.31901041666666674
37529:awa:20181224-awake imaging GCaMP6f mouse #37529:2,032_37529_awa_6d9ff22b4f,37529,awa,Anesthesia/calcium_imaging/20181224-awake imaging GCaMP6f mouse #37529/2/suite2p/plane0,221,300.0,9000,221,1,221,1,1.0,1,0.6248310845396287,45,5,45,1,5.0,5,0.5438271604938272,25,9,25,5,9.0,9,0.3903999999999999
37529:awa:20181224-awake imaging GCaMP6f mouse #37529:3,033_37529_awa_e63a7dc4a9,37529,awa,Anesthesia/calcium_imaging/20181224-awake imaging GCaMP6f mouse #37529/3/suite2p/plane0,395,300.0,9000,395,1,395,1,1.0,1,0.6333007530844421,50,8,50,3,8.0,8,0.44965000000000005,25,16,25,11,16.0,16,0.3254
37529:awa:20190410 - awake imaging GCaMP6f mouse #37529:2,034_37529_awa_a05060e6d7,37529,awa,Anesthesia/calcium_imaging/20190410 - awake imaging GCaMP6f mouse #37529/2/suite2p/plane0,207,300.0,9000,207,1,207,1,1.0,1,0.680701416602488,42,5,42,2,5.0,5,0.45826247165532874,23,9,23,9,9.0,9,0.31309073724007563
37529:awa:20190410 - awake imaging GCaMP6f mouse #37529:3,035_37529_awa_7802b63a97,37529,awa,Anesthesia/calcium_imaging/20190410 - awake imaging GCaMP6f mouse #37529/3/suite2p/plane0,232,300.0,9000,232,1,232,1,1.0,1,0.5874493720273486,47,5,47,2,5.0,5,0.41421457673155276,24,10,24,2,10.0,10,0.34895833333333337
37529:awa:20190410 - awake imaging GCaMP6f mouse #37529:4,036_37529_awa_c4629aefa9,37529,awa,Anesthesia/calcium_imaging/20190410 - awake imaging GCaMP6f mouse #37529/4/suite2p/plane0,248,300.0,9000,248,1,248,1,1.0,1,0.6672716408688867,50,5,50,3,5.0,5,0.36910000000000004,25,10,25,8,10.0,10,0.26039999999999996
37529:awa:20190410 - awake imaging GCaMP6f mouse #37529:5,037_37529_awa_4b589232ae,37529,awa,Anesthesia/calcium_imaging/20190410 - awake imaging GCaMP6f mouse #37529/5/suite2p/plane0,216,300.0,9000,216,1,216,1,1.0,1,0.662730945644719,44,5,44,1,5.0,5,0.3471720041322314,24,9,24,9,9.0,9,0.30186631944444453
37529:iso:20181206-imaging GCaMP6f mouse #37529 under isoflurane:2,038_37529_iso_fd60e008e4,37529,iso,Anesthesia/calcium_imaging/20181206-imaging GCaMP6f mouse #37529 under isoflurane/2/suite2p/plane0,364,300.0,9000,364,1,364,1,1.0,1,0.6720146268566602,46,8,46,4,8.0,8,0.47406663516068054,25,15,25,4,15.0,15,0.3368
37529:iso:20181206-imaging GCaMP6f mouse #37529 under isoflurane:3,039_37529_iso_143d35d935,37529,iso,Anesthesia/calcium_imaging/20181206-imaging GCaMP6f mouse #37529 under isoflurane/3/suite2p/plane0,389,300.0,9000,389,1,389,1,1.0,1,0.6965614488405443,49,8,49,5,8.0,8,0.37900874635568516,25,16,25,5,16.0,16,0.3194
37529:iso:20181206-imaging GCaMP6f mouse #37529 under isoflurane:4,040_37529_iso_d64b979e3e,37529,iso,Anesthesia/calcium_imaging/20181206-imaging GCaMP6f mouse #37529 under isoflurane/4/suite2p/plane0,346,300.0,9000,346,1,346,1,1.0,1,0.692389697283571,50,7,50,3,7.0,7,0.4244000000000001,25,14,25,10,14.0,14,0.32060000000000005
37529:iso:20181206-imaging GCaMP6f mouse #37529 under isoflurane:5,041_37529_iso_085001ecd2,37529,iso,Anesthesia/calcium_imaging/20181206-imaging GCaMP6f mouse #37529 under isoflurane/5/suite2p/plane0,450,300.0,9000,450,1,450,1,1.0,1,0.7180722222222222,50,9,50,9,9.0,9,0.3942,25,18,25,18,18.0,18,0.33940000000000003
37529:iso:20190417 - imaging GCaMP6f mouse #37529 under iso:2,042_37529_iso_a5c38d8579,37529,iso,Anesthesia/calcium_imaging/20190417 - imaging GCaMP6f mouse #37529 under iso/2/suite2p/plane0,580,300.0,9000,580,1,580,1,1.0,1,0.6015565546967896,49,12,49,4,12.0,12,0.40467513536026656,25,24,25,4,24.0,24,0.30360000000000004
37529:iso:20190417 - imaging GCaMP6f mouse #37529 under iso:3,043_37529_iso_10d26e045b,37529,iso,Anesthesia/calcium_imaging/20190417 - imaging GCaMP6f mouse #37529 under iso/3/suite2p/plane0,433,300.0,9000,433,1,433,1,1.0,1,0.7160466747382511,49,9,49,1,9.0,9,0.3836942940441483,25,18,25,1,18.0,18,0.274
37529:iso:20190417 - imaging GCaMP6f mouse #37529 under iso:4,044_37529_iso_aed7b60ecc,37529,iso,Anesthesia/calcium_imaging/20190417 - imaging GCaMP6f mouse #37529 under iso/4/suite2p/plane0,453,300.0,9000,453,1,453,1,1.0,1,0.6406005584550385,46,10,46,3,10.0,10,0.35509215500945185,24,19,24,16,19.0,19,0.30447048611111116
37529:iso:20190417 - imaging GCaMP6f mouse #37529 under iso:5,045_37529_iso_fc1081f39e,37529,iso,Anesthesia/calcium_imaging/20190417 - imaging GCaMP6f mouse #37529 under iso/5/suite2p/plane0,493,300.0,9000,493,1,493,1,1.0,1,0.6796016441129157,50,10,50,3,10.0,10,0.38565000000000005,25,20,25,13,20.0,20,0.2866
37529:iso:20190417 - imaging GCaMP6f mouse #37529 under iso:6,046_37529_iso_e473e4fa26,37529,iso,Anesthesia/calcium_imaging/20190417 - imaging GCaMP6f mouse #37529 under iso/6/suite2p/plane0,548,300.0,9000,548,1,548,1,1.0,1,0.6652641989450693,50,11,50,9,11.0,11,0.37850000000000006,25,22,25,20,22.0,22,0.2846
37530:awa:20181224-awake imaging GCaMP6f mouse #37530:2,047_37530_awa_3f76c22a96,37530,awa,Anesthesia/calcium_imaging/20181224-awake imaging GCaMP6f mouse #37530/2/suite2p/plane0,387,300.0,9000,387,1,387,1,1.0,1,0.8381173674124818,49,8,49,3,8.0,8,0.47063723448563105,25,16,25,3,16.0,16,0.3353999999999999
