dataset,animal,grain,contrast,mean,median,q025,q975,min,max,n,negative_fraction,reversal_fraction
riken,mouse07,G3,C3_spatial_organization,0.10762196030777432,0.10775706748169345,0.09134509394814551,0.11851124727769126,0.09093815317874476,0.12226760864685912,50,0.0,0.0
riken,mouse07,G3,C4_total_objectification,-0.0157183381626467,-0.0157183381626467,-0.0157183381626467,-0.0157183381626467,-0.0157183381626467,-0.0157183381626467,1,1.0,1.0
hamburg,37527,G2,C1_finite_size,-0.07143105751581055,-0.07006188288006746,-0.1089539621318504,-0.032351312770791896,-0.1146183335494056,-0.028538657984871374,50,1.0,1.0
hamburg,37527,G2,C2_aggregation,-0.019633546121518734,-0.018501352795461973,-0.062487354178979146,0.01963291179250761,-0.07086769587982983,0.045790914726746124,50,0.58,0.58
hamburg,37527,G2,C3_spatial_organization,0.013273639866160506,0.012637202247171936,-0.011114894586455424,0.041430414027096685,-0.019264757301709567,0.04740011176245712,50,0.06,0.06
hamburg,37527,G2,C4_total_objectification,-0.07779096377116879,-0.07779096377116879,-0.07779096377116879,-0.07779096377116879,-0.07779096377116879,-0.07779096377116879,1,1.0,1.0
hamburg,37527,G3,C1_finite_size,-0.07709287205310066,-0.0791494916633266,-0.1060790480079384,-0.04787643508570184,-0.10809281989569064,-0.0434302088745967,50,1.0,1.0
hamburg,37527,G3,C2_aggregation,-0.016726407867494825,-0.015187322872595832,-0.0648495068539585,0.025886528129407102,-0.0780231701210729,0.02747306669517202,50,0.56,0.56
hamburg,37527,G3,C3_spatial_organization,-0.006753658010021913,-0.005390975832283179,-0.04462120494456445,0.030569978424025528,-0.052672278107840476,0.035832001080205234,50,0.44,0.44
hamburg,37527,G3,C4_total_objectification,-0.10057293793061739,-0.10057293793061739,-0.10057293793061739,-0.10057293793061739,-0.10057293793061739,-0.10057293793061739,1,1.0,1.0
hamburg,37528,G2,C1_finite_size,0.08945800026897559,0.08964818656842927,0.05074064236147686,0.11668255716413839,0.04266183376494603,0.14266767646166656,50,0.0,0.0
hamburg,37528,G2,C2_aggregation,-0.017621275095134593,-0.014921547939871993,-0.06495919754690258,0.022482834858597842,-0.07278201588954325,0.03830806613328941,50,0.66,0.66
hamburg,37528,G2,C3_spatial_organization,0.012499026946365106,0.014655143924033165,-0.02539546608974781,0.04449512616899961,-0.03144643978417766,0.05006229201231266,50,0.1,0.1
hamburg,37528,G2,C4_total_objectification,0.08433575212020611,0.08433575212020611,0.08433575212020611,0.08433575212020611,0.08433575212020611,0.08433575212020611,1,0.0,0.0
hamburg,37528,G3,C1_finite_size,0.09192848790992211,0.09027207840815848,0.0580278945181673,0.12215121062817606,0.053757390357011936,0.1320260852423737,50,0.0,0.0
hamburg,37528,G3,C2_aggregation,-0.01562636496913582,-0.018637827932098866,-0.06532910480048501,0.042131486855158766,-0.07561501873897708,0.047360240299823775,50,0.62,0.62
hamburg,37528,G3,C3_spatial_organization,-0.016586503968254,-0.01477402447089951,-0.050511057098765445,0.025784723048941714,-0.05180222663139328,0.029060543430335095,50,0.66,0.66
hamburg,37528,G3,C4_total_objectification,0.0597156189725323,0.0597156189725323,0.0597156189725323,0.0597156189725323,0.0597156189725323,0.0597156189725323,1,0.0,0.0
hamburg,37529,G2,C1_finite_size,-0.05590066436070753,-0.05959446572289137,-0.09801362047563897,-0.011800736062898415,-0.11501043249500359,0.009059483773737331,50,0.96,0.96
hamburg,37529,G2,C2_aggregation,0.015336186718706872,0.016258945596394958,-0.03931550618143301,0.06858082707673746,-0.053282469827633405,0.07116712328112013,50,0.18,0.18
hamburg,37529,G2,C3_spatial_organization,-0.025183540201218272,-0.02352668811576525,-0.05014748112238972,-0.00029413260791531076,-0.06941048334653188,0.011280241740488806,50,0.86,0.86
hamburg,37529,G2,C4_total_objectification,-0.06574801784321893,-0.06574801784321893,-0.06574801784321893,-0.06574801784321893,-0.06574801784321893,-0.06574801784321893,1,1.0,1.0
hamburg,37529,G3,C1_finite_size,-0.05317242254780763,-0.04977423330403882,-0.10576173559314556,0.004942050966014176,-0.13398228627420744,0.013832291698732457,50,0.94,0.94
hamburg,37529,G3,C2_aggregation,0.02654713355620901,0.022977327814680593,-0.027938241634139674,0.10479964069318994,-0.04433787369600223,0.12131343391181831,50,0.16,0.16
hamburg,37529,G3,C3_spatial_organization,-0.022083867221230388,-0.02427315451133638,-0.05373240344181022,0.014677308696855488,-0.05861408973955057,0.01809175943429242,50,0.74,0.74
hamburg,37529,G3,C4_total_objectification,-0.04870915621282901,-0.04870915621282901,-0.04870915621282901,-0.04870915621282901,-0.04870915621282901,-0.04870915621282901,1,1.0,1.0
hamburg,37530,G2,C1_finite_size,0.010363890430017042,0.00970756311875709,-0.028071126313050837,0.0380746183919411,-0.03888997791958265,0.05259132975751857,50,0.14,0.14
hamburg,37530,G2,C2_aggregation,0.026533418373984784,0.022215310840977026,-0.017695059838554104,0.08533493457324906,-0.03315867045440629,0.09405906975998463,50,0.06,0.06
hamburg,37530,G2,C3_spatial_organization,-0.012816723491106905,-0.010962766388874556,-0.045188141793026736,0.015408431448034806,-0.04697030162793453,0.018105316211207145,50,0.56,0.56
hamburg,37530,G2,C4_total_objectification,0.02408058531289492,0.02408058531289492,0.02408058531289492,0.02408058531289492,0.02408058531289492,0.02408058531289492,1,0.0,0.0
hamburg,37530,G3,C1_finite_size,0.034715941698891105,0.034989670479755264,-0.007487557529503991,0.06877949976216269,-0.013819473038763297,0.07434219748592819,50,0.02,0.02
hamburg,37530,G3,C2_aggregation,0.017595373456790117,0.011121971450617302,-0.030313469328703706,0.07341982301311724,-0.03211265432098759,0.1070981867283951,50,0.14,0.14
hamburg,37530,G3,C3_spatial_organization,0.0012080814043210397,0.0016506172839506894,-0.030252668788580152,0.03327694299768519,-0.045075868055555524,0.036782658179012384,50,0.28,0.28
hamburg,37530,G3,C4_total_objectification,0.053519396560002264,0.053519396560002264,0.053519396560002264,0.053519396560002264,0.053519396560002264,0.053519396560002264,1,0.0,0.0
hamburg,48,G2,C1_finite_size,-0.06640947313058264,-0.06464220884231073,-0.1348139497820537,-0.005626084551487911,-0.13947337856880448,0.010693914449308617,50,0.96,0.96
hamburg,48,G2,C2_aggregation,-0.0019309488703968902,-0.0015190072383300113,-0.07174652844041338,0.06494864800340122,-0.08276184633051298,0.08508899631731043,50,0.38,0.38
hamburg,48,G2,C3_spatial_organization,-0.04867044777942223,-0.04742061684684676,-0.09141159433582101,-0.007182096150374428,-0.10460652248667651,-0.004466338150283633,50,0.96,0.96
hamburg,48,G2,C4_total_objectification,-0.11701086978040176,-0.11701086978040176,-0.11701086978040176,-0.11701086978040176,-0.11701086978040176,-0.11701086978040176,1,1.0,1.0
hamburg,48,G3,C1_finite_size,-0.10096045321235109,-0.09777159919873005,-0.1787242292157564,-0.04180662909045034,-0.19478635327356936,-0.040045523575069186,50,1.0,1.0
hamburg,48,G3,C2_aggregation,0.026051728841444757,0.018410615147689047,-0.06428518033076981,0.13520972095481315,-0.07159286329201092,0.16398629285277017,50,0.22,0.22
hamburg,48,G3,C3_spatial_organization,-0.0012429583333334448,0.0003391849364859645,-0.05553948765591531,0.056318727186639016,-0.06119821797520669,0.06671974957912441,50,0.48,0.48
hamburg,48,G3,C4_total_objectification,-0.07615168270423978,-0.07615168270423978,-0.07615168270423978,-0.07615168270423978,-0.07615168270423978,-0.07615168270423978,1,1.0,1.0
hamburg,51,G2,C1_finite_size,-0.07556432510111741,-0.07373515241519499,-0.11643947365981942,-0.040299125015687554,-0.12186813825449189,-0.01447755041872023,50,1.0,1.0
hamburg,51,G2,C2_aggregation,-0.042228765191085926,-0.04429765549748471,-0.09060119782276023,0.01038528807944916,-0.11288136077475863,0.016186035523324704,50,0.84,0.84
hamburg,51,G2,C3_spatial_organization,-0.033809743777205456,-0.033351433617428344,-0.06826529494923567,-0.006979864290729795,-0.09738098819652563,0.0073565712067256706,50,0.92,0.92
hamburg,51,G2,C4_total_objectification,-0.15160283406940878,-0.15160283406940878,-0.15160283406940878,-0.15160283406940878,-0.15160283406940878,-0.15160283406940878,1,1.0,1.0
hamburg,51,G3,C1_finite_size,-0.06994184376105593,-0.06851521788236004,-0.1184675722268717,-0.03117404155765485,-0.12367468643745483,-0.029571950683932202,50,1.0,1.0
